secteur;area;longitude;latitude;calves;adults
Hautes-Laurentides;one;-77,07788;47,3418;19;0
Hautes-Laurentides;one;-76,12756;47,47192;19;0
Hautes-Laurentides;one;-75,49585;47,21882;19;0
Hautes-Laurentides;one;-76,20447;46,61096;19;0
Hautes-Laurentides;one;-77,06689;46,95326;19;0
Capitale-Nationale;two;-71,24799;47,2192;24;0
Capitale-Nationale;two;-70,50641;47,7685;24;0
Capitale-Nationale;two;-70,33063;47,71678;24;0
Capitale-Nationale;two;-70,67944;47,16694;24;0
Capitale-Nationale;two;-71,0777;47,05478;24;0
Bas-St-Laurent;three;-68,30914;48,2682;25;0
Bas-St-Laurent;three;-68,08392;48,28466;25;0
Bas-St-Laurent;three;-67,68842;48,07037;25;0
Bas-St-Laurent;three;-67,71719;47,99998;25;0
Bas-St-Laurent;three;-68,12265;47,99998;25;0
Bas-St-Laurent;three;-68,12265;47,91584;25;0
Bas-St-Laurent;three;-68,47668;47,91584;25;0
Forillon;four;-64,37247;48,96922;14;15
Forillon;four;-64,20767;48,86002;14;15
Forillon;four;-64,31204;48,82748;14;15
Forillon;four;-64,39993;48,8546;14;15
Forillon;four;-64,51941;48,92503;14;15
N.-Brunswick;five;-66,89465;45,80736;12;0
N.-Brunswick;five;-66,65295;45,76331;12;0
N.-Brunswick;five;-66,6969;45,49634;12;0
N.-Brunswick;five;-66,91113;45,51559;12;0
N.-Brunswick;six;-66,29041;46,01184;12;0
N.-Brunswick;six;-65,71362;46,08047;12;0
N.-Brunswick;six;-65,55981;45,94504;12;0
N.-Brunswick;six;-66,27393;45,90301;12;0
